movieId,title,genres,clean_title,rating_count,rating_mean,rating_std,user_tags,combined_features,rating_count_norm,rating_mean_norm,popularity_score
18,Four Rooms (1995),Comedy,Four Rooms,20.0,3.7,0.91,,Comedy|,0.057926829268292686,0.7111111111111111,0.5151558265582655
19,Ace Ventura: When Nature Calls (1995),Comedy,Ace Ventura: When Nature Calls,88.0,2.73,1.06,,Comedy|,0.2652439024390244,0.4955555555555555,0.4264620596205962
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,Money Train,15.0,2.5,0.98,,Action|Comedy|Crime|Drama|Thriller|,0.042682926829268296,0.4444444444444444,0.32391598915989156
21,Get Shorty (1995),Comedy|Crime|Thriller,Get Shorty,89.0,3.49,0.87,Hollywood,Comedy|Crime|Thriller|Hollywood,0.2682926829268293,0.6644444444444445,0.5455989159891599
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,Copycat,36.0,3.22,0.82,serial killer,Crime|Drama|Horror|Mystery|Thriller|serial killer,0.10670731707317073,0.6044444444444445,0.4551233062330623
23,Assassins (1995),Action|Crime|Thriller,Assassins,16.0,3.12,1.12,,Action|Crime|Thriller|,0.04573170731707317,0.5822222222222222,0.42127506775067747
24,Powder (1995),Drama|Sci-Fi,Powder,28.0,3.12,1.01,,Drama|Sci-Fi|,0.08231707317073171,0.5822222222222222,0.43225067750677504
25,Leaving Las Vegas (1995),Drama|Romance,Leaving Las Vegas,76.0,3.62,1.12,alcoholism,Drama|Romance|alcoholism,0.22865853658536586,0.6933333333333334,0.5539308943089432
26,Othello (1995),Drama,Othello,13.0,3.5,0.61,Shakespeare,Drama|Shakespeare,0.036585365853658534,0.6666666666666666,0.4776422764227642
27,Now and Then (1995),Children|Drama,Now and Then,9.0,3.33,1.2,,Children|Drama|,0.024390243902439025,0.6288888888888889,0.44753929539295395
28,Persuasion (1995),Drama|Romance,Persuasion,11.0,4.23,0.79,In Netflix queue|Jane Austen,Drama|Romance|In Netflix queue|Jane Austen,0.03048780487804878,0.828888888888889,0.589368563685637
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,"City of Lost Children, The",38.0,4.01,0.83,kidnapping,Adventure|Drama|Fantasy|Mystery|Sci-Fi|kidnapping,0.11280487804878049,0.7799999999999999,0.579841463414634
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,Shanghai Triad,3.0,3.0,1.73,,Crime|Drama|,0.006097560975609756,0.5555555555555556,0.3907181571815718
31,Dangerous Minds (1995),Drama,Dangerous Minds,38.0,3.18,0.99,high school|teacher,Drama|high school|teacher,0.11280487804878049,0.5955555555555556,0.4507303523035231
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,Twelve Monkeys,177.0,3.98,0.79,time travel|twist ending|Brad Pitt|remake|post-apocalyptic|Post apocalyptic|mindfuck|Bruce Willis,Mystery|Sci-Fi|Thriller|time travel|twist ending|Brad Pitt|remake|post-apocalyptic|Post apocalyptic|mindfuck|Bruce Willis,0.5365853658536586,0.7733333333333333,0.7023089430894309
34,Babe (1995),Children|Drama,Babe,128.0,3.65,1.04,pigs|Animal movie|villain nonexistent or not needed for good story,Children|Drama|pigs|Animal movie|villain nonexistent or not needed for good story,0.3871951219512195,0.7,0.6061585365853658
36,Dead Man Walking (1995),Crime|Drama,Dead Man Walking,67.0,3.84,0.94,death penalty|Nun,Crime|Drama|death penalty|Nun,0.20121951219512196,0.7422222222222222,0.5799214092140921
38,It Takes Two (1995),Children|Comedy,It Takes Two,4.0,2.12,0.85,twins,Children|Comedy|twins,0.009146341463414634,0.36000000000000004,0.2547439024390244
39,Clueless (1995),Comedy|Romance,Clueless,104.0,3.29,1.04,seen more than once|quotable|Paul Rudd|chick flick|Emma|Jane Austen|funny,Comedy|Romance|seen more than once|quotable|Paul Rudd|chick flick|Emma|Jane Austen|funny,0.31402439024390244,0.62,0.5282073170731707
40,"Cry, the Beloved Country (1995)",Drama,"Cry, the Beloved Country",2.0,4.25,1.06,South Africa|In Netflix queue,Drama|South Africa|In Netflix queue,0.003048780487804878,0.8333333333333334,0.5842479674796748
41,Richard III (1995),Drama|War,Richard III,15.0,3.7,0.68,Shakespeare,Drama|War|Shakespeare,0.042682926829268296,0.7111111111111111,0.5105826558265583
42,Dead Presidents (1995),Action|Crime|Drama,Dead Presidents,7.0,3.0,0.82,,Action|Crime|Drama|,0.018292682926829267,0.5555555555555556,0.3943766937669377
43,Restoration (1995),Drama,Restoration,8.0,3.19,0.65,England,Drama|England,0.021341463414634148,0.5977777777777777,0.42484688346883465
44,Mortal Kombat (1995),Action|Adventure|Fantasy,Mortal Kombat,46.0,2.54,1.08,,Action|Adventure|Fantasy|,0.13719512195121952,0.45333333333333337,0.3584918699186992
45,To Die For (1995),Comedy|Drama|Thriller,To Die For,32.0,3.31,0.83,Journalism,Comedy|Drama|Thriller|Journalism,0.09451219512195122,0.6244444444444445,0.46546476964769645
46,How to Make an American Quilt (1995),Drama|Romance,How to Make an American Quilt,15.0,3.07,1.18,wedding,Drama|Romance|wedding,0.042682926829268296,0.5711111111111111,0.4125826558265583
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,Seven,203.0,3.98,0.92,serial killer|twist ending|mystery,Mystery|Thriller|serial killer|twist ending|mystery,0.6158536585365854,0.7733333333333333,0.7260894308943089
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,Pocahontas,68.0,3.15,1.05,,Animation|Children|Drama|Musical|Romance|,0.20426829268292682,0.5888888888888889,0.47350271002710026
49,When Night Is Falling (1995),Drama|Romance,When Night Is Falling,1.0,3.0,,,Drama|Romance|,0.0,0.5555555555555556,0.3888888888888889
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,"Usual Suspects, The",204.0,4.24,0.8,thriller|twist ending|heist|suspense|mindfuck|tricky,Crime|Mystery|Thriller|thriller|twist ending|heist|suspense|mindfuck|tricky,0.6189024390243902,0.8311111111111111,0.7674485094850948
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,Mighty Aphrodite,28.0,3.46,0.87,adoption|prostitution,Comedy|Drama|Romance|adoption|prostitution,0.08231707317073171,0.6577777777777778,0.48513956639566397
53,Lamerica (1994),Adventure|Drama,Lamerica,2.0,5.0,0.0,,Adventure|Drama|,0.003048780487804878,1.0,0.7009146341463414
54,"Big Green, The (1995)",Children|Comedy,"Big Green, The",3.0,2.33,1.53,,Children|Comedy|,0.006097560975609756,0.4066666666666667,0.2864959349593496
55,Georgia (1995),Drama,Georgia,1.0,4.0,,,Drama|,0.0,0.7777777777777778,0.5444444444444444
57,Home for the Holidays (1995),Drama,Home for the Holidays,8.0,3.06,0.86,,Drama|,0.021341463414634148,0.5688888888888889,0.40462466124661245
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,"Postman, The",37.0,4.03,0.92,writing,Comedy|Drama|Romance|writing,0.10975609756097561,0.7844444444444445,0.5820379403794038
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,"Indian in the Cupboard, The",34.0,3.24,1.02,,Adventure|Children|Fantasy|,0.10060975609756098,0.6088888888888889,0.45640514905149054
61,Eye for an Eye (1996),Drama|Thriller,Eye for an Eye,6.0,3.75,0.88,,Drama|Thriller|,0.01524390243902439,0.7222222222222222,0.5101287262872628
62,Mr. Holland's Opus (1995),Drama,Mr. Holland's Opus,80.0,3.71,1.05,music,Drama|music,0.24085365853658536,0.7133333333333334,0.5715894308943089
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,7.0,2.71,1.15,,Comedy|Crime|,0.018292682926829267,0.4911111111111111,0.3492655826558265
64,Two if by Sea (1996),Comedy|Romance,Two if by Sea,5.0,2.2,0.84,,Comedy|Romance|,0.012195121951219513,0.3777777777777778,0.26810298102981034
65,Bio-Dome (1996),Comedy,Bio-Dome,31.0,2.53,1.06,,Comedy|,0.09146341463414634,0.4511111111111111,0.34321680216802164
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,Lawnmower Man 2: Beyond Cyberspace,9.0,2.5,1.12,,Action|Sci-Fi|Thriller|,0.024390243902439025,0.4444444444444444,0.3184281842818428
68,French Twist (Gazon maudit) (1995),Comedy|Romance,French Twist,5.0,3.4,1.14,,Comedy|Romance|,0.012195121951219513,0.6444444444444444,0.4547696476964769
69,Friday (1995),Comedy,Friday,20.0,3.78,0.9,,Comedy|,0.057926829268292686,0.7288888888888888,0.5276002710027099
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,From Dusk Till Dawn,55.0,3.51,1.02,,Action|Comedy|Horror|Thriller|,0.16463414634146342,0.6688888888888889,0.5176124661246612
71,Fair Game (1995),Action,Fair Game,5.0,1.7,0.45,,Action|,0.012195121951219513,0.26666666666666666,0.1903252032520325
72,Kicking and Screaming (1995),Comedy|Drama,Kicking and Screaming,7.0,3.21,1.29,,Comedy|Drama|,0.018292682926829267,0.6022222222222222,0.4270433604336043
73,"Misérables, Les (1995)",Drama|War,"Misérables, Les",13.0,3.46,0.69,,Drama|War|,0.036585365853658534,0.6577777777777778,0.471420054200542
74,Bed of Roses (1996),Drama|Romance,Bed of Roses,8.0,4.0,0.76,,Drama|Romance|,0.021341463414634148,0.7777777777777778,0.5508468834688346
75,Big Bully (1996),Comedy|Drama,Big Bully,5.0,2.2,1.1,,Comedy|Drama|,0.012195121951219513,0.3777777777777778,0.26810298102981034
76,Screamers (1995),Action|Sci-Fi|Thriller,Screamers,15.0,3.4,1.2,,Action|Sci-Fi|Thriller|,0.042682926829268296,0.6444444444444444,0.4639159891598915
77,Nico Icon (1995),Documentary,Nico Icon,1.0,4.0,,,Documentary|,0.0,0.7777777777777778,0.5444444444444444
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,"Crossing Guard, The",3.0,3.33,0.58,,Action|Crime|Drama|Thriller|,0.006097560975609756,0.6288888888888889,0.44205149051490517
79,"Juror, The (1996)",Drama|Thriller,"Juror, The",17.0,2.76,1.2,,Drama|Thriller|,0.04878048780487805,0.5022222222222221,0.3661897018970189
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,"White Balloon, The",2.0,4.0,0.0,,Children|Drama|,0.003048780487804878,0.7777777777777778,0.5453590785907858
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,Things to Do in Denver When You're Dead,14.0,3.11,0.76,,Crime|Drama|Romance|,0.039634146341463415,0.58,0.417890243902439
82,Antonia's Line (Antonia) (1995),Comedy|Drama,Antonia's Line,8.0,3.88,1.48,,Comedy|Drama|,0.021341463414634148,0.7511111111111111,0.5321802168021679
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,Once Upon a Time... When We Were Colored,1.0,3.0,,,Drama|Romance|,0.0,0.5555555555555556,0.3888888888888889
85,Angels and Insects (1995),Drama|Romance,Angels and Insects,7.0,3.86,1.57,,Drama|Romance|,0.018292682926829267,0.7466666666666666,0.5281544715447154
86,White Squall (1996),Action|Adventure|Drama,White Squall,15.0,3.97,0.77,,Action|Adventure|Drama|,0.042682926829268296,0.7711111111111112,0.5525826558265583
87,Dunston Checks In (1996),Children|Comedy,Dunston Checks In,7.0,2.5,0.96,,Children|Comedy|,0.018292682926829267,0.4444444444444444,0.31659891598915985
88,Black Sheep (1996),Comedy,Black Sheep,16.0,3.16,1.18,,Comedy|,0.04573170731707317,0.5911111111111111,0.42749728997289976
89,Nick of Time (1995),Action|Thriller,Nick of Time,10.0,3.25,0.75,,Action|Thriller|,0.027439024390243903,0.6111111111111112,0.436009485094851
92,Mary Reilly (1996),Drama|Horror|Thriller,Mary Reilly,8.0,2.62,1.03,Jekyll and Hyde,Drama|Horror|Thriller|Jekyll and Hyde,0.021341463414634148,0.47111111111111115,0.33618021680216803
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,Vampire in Brooklyn,9.0,2.83,1.03,,Comedy|Horror|Romance|,0.024390243902439025,0.5177777777777778,0.3697615176151761
94,Beautiful Girls (1996),Comedy|Drama|Romance,Beautiful Girls,10.0,3.95,0.5,,Comedy|Drama|Romance|,0.027439024390243903,0.7666666666666667,0.5448983739837397
95,Broken Arrow (1996),Action|Adventure|Thriller,Broken Arrow,84.0,3.02,1.01,,Action|Adventure|Thriller|,0.2530487804878049,0.56,0.4679146341463415
96,In the Bleak Midwinter (1995),Comedy|Drama,In the Bleak Midwinter,1.0,3.5,,theater,Comedy|Drama|theater,0.0,0.6666666666666666,0.4666666666666666
97,"Hate (Haine, La) (1995)",Crime|Drama,Hate,10.0,3.9,0.74,,Crime|Drama|,0.027439024390243903,0.7555555555555555,0.537120596205962
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,Heidi Fleiss: Hollywood Madam,2.0,5.0,0.0,,Documentary|,0.003048780487804878,1.0,0.7009146341463414
100,City Hall (1996),Drama|Thriller,City Hall,14.0,2.79,0.7,,Drama|Thriller|,0.039634146341463415,0.508888888888889,0.36811246612466125
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,Bottle Rocket,23.0,3.78,1.04,quirky|crime|off-beat comedy,Adventure|Comedy|Crime|Romance|quirky|crime|off-beat comedy,0.06707317073170732,0.7288888888888888,0.5303441734417343
102,Mr. Wrong (1996),Comedy,Mr. Wrong,5.0,2.4,1.95,,Comedy|,0.012195121951219513,0.4222222222222222,0.2992140921409214
103,Unforgettable (1996),Mystery|Sci-Fi|Thriller,Unforgettable,3.0,3.0,0.0,,Mystery|Sci-Fi|Thriller|,0.006097560975609756,0.5555555555555556,0.3907181571815718
104,Happy Gilmore (1996),Comedy,Happy Gilmore,99.0,3.44,0.99,Adam Sandler|golf|test tag,Comedy|Adam Sandler|golf|test tag,0.29878048780487804,0.6533333333333333,0.5469674796747968
105,"Bridges of Madison County, The (1995)",Drama|Romance,"Bridges of Madison County, The",23.0,3.28,0.85,,Drama|Romance|,0.06707317073170732,0.6177777777777778,0.4525663956639566
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,Nobody Loves Me,1.0,4.0,,,Comedy|Drama|,0.0,0.7777777777777778,0.5444444444444444
107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,Muppet Treasure Island,26.0,3.33,0.93,muppets,Adventure|Children|Comedy|Musical|muppets,0.07621951219512195,0.6288888888888889,0.46308807588075884
108,Catwalk (1996),Documentary,Catwalk,1.0,4.0,,,Documentary|,0.0,0.7777777777777778,0.5444444444444444
110,Braveheart (1995),Action|Drama|War,Braveheart,237.0,4.03,0.97,epic|Medieval|mel gibson|inspirational|revenge|historical|beautiful scenery|sword fight|Scotland|Oscar (Best Cinematography),Action|Drama|War|epic|Medieval|mel gibson|inspirational|revenge|historical|beautiful scenery|sword fight|Scotland|Oscar (Best Cinematography),0.7195121951219512,0.7844444444444445,0.7649647696476964
111,Taxi Driver (1976),Crime|Drama|Thriller,Taxi Driver,104.0,4.11,0.82,assassination,Crime|Drama|Thriller|assassination,0.31402439024390244,0.8022222222222223,0.6557628726287263
112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,Rumble in the Bronx,46.0,3.54,0.93,,Action|Adventure|Comedy|Crime|,0.13719512195121952,0.6755555555555556,0.5140474254742547
113,Before and After (1996),Drama|Mystery,Before and After,3.0,3.33,0.58,,Drama|Mystery|,0.006097560975609756,0.6288888888888889,0.44205149051490517
116,Anne Frank Remembered (1995),Documentary,Anne Frank Remembered,5.0,3.9,1.02,Holocaust,Documentary|Holocaust,0.012195121951219513,0.7555555555555555,0.5325474254742547
117,"Young Poisoner's Handbook, The (1995)",Crime|Drama,"Young Poisoner's Handbook, The",1.0,3.0,,,Crime|Drama|,0.0,0.5555555555555556,0.3888888888888889
118,If Lucy Fell (1996),Comedy|Romance,If Lucy Fell,2.0,2.5,0.71,,Comedy|Romance|,0.003048780487804878,0.4444444444444444,0.3120257452574525
119,"Steal Big, Steal Little (1995)",Comedy,"Steal Big, Steal Little",2.0,3.0,0.0,,Comedy|,0.003048780487804878,0.5555555555555556,0.38980352303523036
121,"Boys of St. Vincent, The (1992)",Drama,"Boys of St. Vincent, The",2.0,4.0,0.0,,Drama|,0.003048780487804878,0.7777777777777778,0.5453590785907858
122,Boomerang (1992),Comedy|Romance,Boomerang,16.0,2.66,0.72,dating,Comedy|Romance|dating,0.04573170731707317,0.48000000000000004,0.349719512195122
123,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,Chungking Express,4.0,4.38,0.95,,Drama|Mystery|Romance|,0.009146341463414634,0.8622222222222222,0.6062994579945798
125,Flirting With Disaster (1996),Comedy,Flirting With Disaster,12.0,3.58,1.26,,Comedy|,0.03353658536585366,0.6844444444444444,0.48917208672086715
126,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,"NeverEnding Story III, The",7.0,2.0,0.82,,Adventure|Children|Fantasy|,0.018292682926829267,0.3333333333333333,0.2388211382113821
128,Jupiter's Wife (1994),Documentary,Jupiter's Wife,1.0,3.0,,,Documentary|,0.0,0.5555555555555556,0.3888888888888889
129,Pie in the Sky (1996),Comedy|Romance,Pie in the Sky,1.0,2.0,,,Comedy|Romance|,0.0,0.3333333333333333,0.2333333333333333
132,Jade (1995),Thriller,Jade,6.0,2.83,0.75,,Thriller|,0.01524390243902439,0.5177777777777778,0.3670176151761517
135,Down Periscope (1996),Comedy,Down Periscope,31.0,2.95,1.03,,Comedy|,0.09146341463414634,0.5444444444444445,0.40855013550135505
137,Man of the Year (1995),Documentary,Man of the Year,1.0,3.0,,,Documentary|,0.0,0.5555555555555556,0.3888888888888889
140,Up Close and Personal (1996),Drama|Romance,Up Close and Personal,16.0,3.5,0.68,journalism,Drama|Romance|journalism,0.04573170731707317,0.6666666666666666,0.4803861788617886
141,"Birdcage, The (1996)",Comedy,"Birdcage, The",86.0,3.49,0.84,,Comedy|,0.25914634146341464,0.6644444444444445,0.5428550135501355
144,"Brothers McMullen, The (1995)",Comedy,"Brothers McMullen, The",12.0,3.33,0.86,,Comedy|,0.03353658536585366,0.6288888888888889,0.45028319783197834
145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,Bad Boys,51.0,3.25,0.86,,Action|Comedy|Crime|Drama|Thriller|,0.1524390243902439,0.6111111111111112,0.47350948509485097
146,"Amazing Panda Adventure, The (1995)",Adventure|Children,"Amazing Panda Adventure, The",3.0,3.33,0.58,,Adventure|Children|,0.006097560975609756,0.6288888888888889,0.44205149051490517
147,"Basketball Diaries, The (1995)",Drama,"Basketball Diaries, The",15.0,3.47,0.85,addiction|Mark Wahlberg|Leonardo DiCaprio|heroin,Drama|addiction|Mark Wahlberg|Leonardo DiCaprio|heroin,0.042682926829268296,0.66,0.47480487804878047
148,"Awfully Big Adventure, An (1995)",Drama,"Awfully Big Adventure, An",1.0,5.0,,,Drama|,0.0,1.0,0.7
149,Amateur (1994),Crime|Drama|Thriller,Amateur,1.0,2.0,,,Crime|Drama|Thriller|,0.0,0.3333333333333333,0.2333333333333333
150,Apollo 13 (1995),Adventure|Drama|IMAX,Apollo 13,201.0,3.85,0.88,NASA|moon|space,Adventure|Drama|IMAX|NASA|moon|space,0.6097560975609756,0.7444444444444445,0.7040379403794037
151,Rob Roy (1995),Action|Drama|Romance|War,Rob Roy,44.0,3.55,0.95,,Action|Drama|Romance|War|,0.13109756097560976,0.6777777777777777,0.5137737127371272
152,"Addiction, The (1995)",Drama|Horror,"Addiction, The",2.0,1.5,0.71,,Drama|Horror|,0.003048780487804878,0.2222222222222222,0.156470189701897
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,Batman Forever,137.0,2.92,0.9,superhero,Action|Adventure|Comedy|Crime|superhero,0.4146341463414634,0.5377777777777778,0.5008346883468834
154,Beauty of the Day (Belle de jour) (1967),Drama,Beauty of the Day,12.0,3.88,0.61,,Drama|,0.03353658536585366,0.7511111111111111,0.5358387533875337
155,Beyond Rangoon (1995),Adventure|Drama|War,Beyond Rangoon,6.0,2.42,1.36,,Adventure|Drama|War|,0.01524390243902439,0.42666666666666664,0.30323983739837396
156,Blue in the Face (1995),Comedy|Drama,Blue in the Face,3.0,3.33,1.15,,Comedy|Drama|,0.006097560975609756,0.6288888888888889,0.44205149051490517
157,Canadian Bacon (1995),Comedy|War,Canadian Bacon,11.0,2.86,1.1,,Comedy|War|,0.03048780487804878,0.5244444444444444,0.3762574525745257
158,Casper (1995),Adventure|Children,Casper,62.0,2.81,1.11,,Adventure|Children|,0.18597560975609756,0.5133333333333333,0.41512601626016254
159,Clockers (1995),Crime|Drama|Mystery,Clockers,14.0,2.89,0.92,,Crime|Drama|Mystery|,0.039634146341463415,0.5311111111111111,0.3836680216802168
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,Congo,57.0,2.88,1.03,Michael Crichton,Action|Adventure|Mystery|Sci-Fi|Michael Crichton,0.17073170731707318,0.5288888888888889,0.4214417344173441
161,Crimson Tide (1995),Drama|Thriller|War,Crimson Tide,103.0,3.64,0.88,submarine,Drama|Thriller|War|submarine,0.31097560975609756,0.6977777777777778,0.5817371273712737
162,Crumb (1994),Documentary,Crumb,17.0,4.21,0.64,In Netflix queue,Documentary|In Netflix queue,0.04878048780487805,0.8244444444444444,0.5917452574525744
163,Desperado (1995),Action|Romance|Western,Desperado,66.0,3.56,0.99,,Action|Romance|Western|,0.19817073170731708,0.68,0.5354512195121951
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,Devil in a Blue Dress,14.0,3.32,0.77,,Crime|Film-Noir|Mystery|Thriller|,0.039634146341463415,0.6266666666666666,0.45055691056910563
165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,Die Hard: With a Vengeance,144.0,3.56,0.92,,Action|Crime|Thriller|,0.43597560975609756,0.68,0.6067926829268293
166,"Doom Generation, The (1995)",Comedy|Crime|Drama,"Doom Generation, The",3.0,2.83,1.26,,Comedy|Crime|Drama|,0.006097560975609756,0.5177777777777778,0.36427371273712733
168,First Knight (1995),Action|Drama|Romance,First Knight,54.0,3.08,1.3,,Action|Drama|Romance|,0.16158536585365854,0.5733333333333334,0.44980894308943087
169,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama,Free Willy 2: The Adventure Home,10.0,2.4,0.99,,Adventure|Children|Drama|,0.027439024390243903,0.4222222222222222,0.3037872628726287
170,Hackers (1995),Action|Adventure|Crime|Thriller,Hackers,35.0,3.23,0.92,,Action|Adventure|Crime|Thriller|,0.10365853658536585,0.6066666666666667,0.45576422764227636
171,Jeffrey (1995),Comedy|Drama,Jeffrey,6.0,3.83,0.98,,Comedy|Drama|,0.01524390243902439,0.74,0.5225731707317073
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,Johnny Mnemonic,53.0,2.68,1.07,,Action|Sci-Fi|Thriller|,0.15853658536585366,0.48444444444444446,0.38667208672086717
173,Judge Dredd (1995),Action|Crime|Sci-Fi,Judge Dredd,62.0,2.67,1.03,,Action|Crime|Sci-Fi|,0.18597560975609756,0.4822222222222222,0.3933482384823848
174,Jury Duty (1995),Comedy,Jury Duty,10.0,2.7,1.48,,Comedy|,0.027439024390243903,0.48888888888888893,0.3504539295392954
175,Kids (1995),Drama,Kids,20.0,3.98,0.75,Nudity (Full Frontal)|New York City|controversial,Drama|Nudity (Full Frontal)|New York City|controversial,0.057926829268292686,0.7733333333333333,0.5587113821138211
176,Living in Oblivion (1995),Comedy,Living in Oblivion,13.0,4.31,0.52,,Comedy|,0.036585365853658534,0.8466666666666666,0.6036422764227641
177,Lord of Illusions (1995),Horror,Lord of Illusions,8.0,2.75,1.16,,Horror|,0.021341463414634148,0.5,0.3564024390243902
178,Love & Human Remains (1993),Comedy|Drama,Love & Human Remains,1.0,1.0,,,Comedy|Drama|,0.0,0.1111111111111111,0.07777777777777777
179,Mad Love (1995),Drama|Romance,Mad Love,2.0,1.5,0.71,,Drama|Romance|,0.003048780487804878,0.2222222222222222,0.156470189701897
180,Mallrats (1995),Comedy|Romance,Mallrats,36.0,3.4,0.92,,Comedy|Romance|,0.10670731707317073,0.6444444444444444,0.4831233062330622
181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children,Mighty Morphin Power Rangers: The Movie,17.0,2.26,1.16,,Action|Children|,0.04878048780487805,0.3911111111111111,0.28841192411924116
183,Mute Witness (1994),Comedy|Horror|Thriller,Mute Witness,2.0,3.5,0.71,,Comedy|Horror|Thriller|,0.003048780487804878,0.6666666666666666,0.4675813008130081
184,Nadja (1994),Drama,Nadja,2.0,3.5,0.71,,Drama|,0.003048780487804878,0.6666666666666666,0.4675813008130081
